2019-06-17 18:13:13,155 INFO - helpers.log_helper - Completed configuring logger.
2019-06-17 18:13:48,870 INFO - __main__ - Completed generating dataset.
2019-06-17 18:13:48,871 INFO - __main__ - Dataset info: {'X_train_np.shape': (825309, 672), 'y_train_np.shape': (825309, 5), 'X_val_np.shape': (275103, 672), 'y_val_np.shape': (275103, 5), 'X_test_np.shape': (276432, 672), 'y_test_np.shape': (276432, 5)}
2019-06-17 18:13:52,535 INFO - models.multi_lightgbm - Finished building model.
2019-06-17 18:13:52,536 INFO - models.multi_lightgbm - Model summary:
2019-06-17 18:13:52,537 INFO - models.multi_lightgbm - 1-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,538 INFO - models.multi_lightgbm - 2-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 3-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,539 INFO - models.multi_lightgbm - 4-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,540 INFO - models.multi_lightgbm - 5-th regressor: 
LGBMRegressor(bagging_fraction=0.8, bagging_freq=0, boosting_type='gbdt',
       class_weight=None, colsample_bytree=1.0, feature_fraction=0.8,
       importance_type='split', learning_rate=0.007, max_depth=10,
       min_child_samples=25, min_child_weight=0.001, min_split_gain=0.0,
       min_sum_hessian_in_leaf=0.002, n_estimators=100, n_jobs=-1,
       num_boost_round=2500, num_leaves=256, objective=None,
       random_state=None, reg_alpha=0.01, reg_lambda=0.01, silent=True,
       subsample=1.0, subsample_for_bin=200000, subsample_freq=0)
2019-06-17 18:13:52,545 INFO - trainers.multi_lightgbm_trainer - Started training for the 1-th regressor.
[1]	valid_0's rmse: 0.138556	valid_0's l2: 0.0191977
[1130]	valid_0's rmse: 0.0332942	valid_0's l2: 0.00110851
[1131]	valid_0's rmse: 0.0332938	valid_0's l2: 0.00110847
[1132]	valid_0's rmse: 0.0332933	valid_0's l2: 0.00110844
[1133]	valid_0's rmse: 0.0332928	valid_0's l2: 0.00110841
[1134]	valid_0's rmse: 0.0332922	valid_0's l2: 0.00110837
[1135]	valid_0's rmse: 0.0332917	valid_0's l2: 0.00110834
[1136]	valid_0's rmse: 0.0332913	valid_0's l2: 0.00110831
[1137]	valid_0's rmse: 0.0332908	valid_0's l2: 0.00110828
[1138]	valid_0's rmse: 0.0332909	valid_0's l2: 0.00110829
[1139]	valid_0's rmse: 0.0332905	valid_0's l2: 0.00110826
[1140]	valid_0's rmse: 0.0332902	valid_0's l2: 0.00110824
[1141]	valid_0's rmse: 0.0332899	valid_0's l2: 0.00110822
[1142]	valid_0's rmse: 0.0332895	valid_0's l2: 0.00110819
[1143]	valid_0's rmse: 0.0332892	valid_0's l2: 0.00110817
[1144]	valid_0's rmse: 0.0332888	valid_0's l2: 0.00110814
[1145]	valid_0's rmse: 0.0332884	valid_0's l2: 0.00110812
[1146]	valid_0's rmse: 0.0332881	valid_0's l2: 0.0011081
[1147]	valid_0's rmse: 0.033288	valid_0's l2: 0.00110809
[1148]	valid_0's rmse: 0.0332876	valid_0's l2: 0.00110806
[1149]	valid_0's rmse: 0.033287	valid_0's l2: 0.00110803
[1150]	valid_0's rmse: 0.0332868	valid_0's l2: 0.00110801
[1151]	valid_0's rmse: 0.0332866	valid_0's l2: 0.001108
[1152]	valid_0's rmse: 0.033286	valid_0's l2: 0.00110796
[1153]	valid_0's rmse: 0.0332856	valid_0's l2: 0.00110793
[1154]	valid_0's rmse: 0.0332853	valid_0's l2: 0.00110791
[1155]	valid_0's rmse: 0.0332849	valid_0's l2: 0.00110789
[1156]	valid_0's rmse: 0.0332849	valid_0's l2: 0.00110789
[1157]	valid_0's rmse: 0.0332845	valid_0's l2: 0.00110786
[1158]	valid_0's rmse: 0.0332843	valid_0's l2: 0.00110785
[1159]	valid_0's rmse: 0.0332836	valid_0's l2: 0.0011078
[1160]	valid_0's rmse: 0.0332833	valid_0's l2: 0.00110778
[1161]	valid_0's rmse: 0.033283	valid_0's l2: 0.00110776
[1162]	valid_0's rmse: 0.0332827	valid_0's l2: 0.00110774
[1163]	valid_0's rmse: 0.0332825	valid_0's l2: 0.00110773
[1164]	valid_0's rmse: 0.0332822	valid_0's l2: 0.0011077
[1165]	valid_0's rmse: 0.0332819	valid_0's l2: 0.00110768
[1166]	valid_0's rmse: 0.0332816	valid_0's l2: 0.00110767
[1167]	valid_0's rmse: 0.0332814	valid_0's l2: 0.00110765
[1168]	valid_0's rmse: 0.0332809	valid_0's l2: 0.00110762
[1169]	valid_0's rmse: 0.0332805	valid_0's l2: 0.00110759
[1170]	valid_0's rmse: 0.0332801	valid_0's l2: 0.00110757
[1171]	valid_0's rmse: 0.0332801	valid_0's l2: 0.00110756
[1172]	valid_0's rmse: 0.0332797	valid_0's l2: 0.00110754
[1173]	valid_0's rmse: 0.0332793	valid_0's l2: 0.00110751
[1174]	valid_0's rmse: 0.0332792	valid_0's l2: 0.0011075
[1175]	valid_0's rmse: 0.0332792	valid_0's l2: 0.00110751
[1176]	valid_0's rmse: 0.0332788	valid_0's l2: 0.00110748
[1177]	valid_0's rmse: 0.0332784	valid_0's l2: 0.00110745
[1178]	valid_0's rmse: 0.0332785	valid_0's l2: 0.00110746
[1179]	valid_0's rmse: 0.0332783	valid_0's l2: 0.00110745
[1180]	valid_0's rmse: 0.0332777	valid_0's l2: 0.00110741
[1181]	valid_0's rmse: 0.0332776	valid_0's l2: 0.0011074
[1182]	valid_0's rmse: 0.0332774	valid_0's l2: 0.00110739
[1183]	valid_0's rmse: 0.0332773	valid_0's l2: 0.00110738
[1184]	valid_0's rmse: 0.0332773	valid_0's l2: 0.00110738
[1185]	valid_0's rmse: 0.0332772	valid_0's l2: 0.00110737
[1186]	valid_0's rmse: 0.0332769	valid_0's l2: 0.00110735
[1187]	valid_0's rmse: 0.0332763	valid_0's l2: 0.00110731
[1188]	valid_0's rmse: 0.0332763	valid_0's l2: 0.00110731
[1189]	valid_0's rmse: 0.0332762	valid_0's l2: 0.0011073
[1190]	valid_0's rmse: 0.0332758	valid_0's l2: 0.00110728
[1191]	valid_0's rmse: 0.0332756	valid_0's l2: 0.00110726
[1192]	valid_0's rmse: 0.0332753	valid_0's l2: 0.00110724
[1193]	valid_0's rmse: 0.0332747	valid_0's l2: 0.0011072
[1194]	valid_0's rmse: 0.0332742	valid_0's l2: 0.00110718
[1195]	valid_0's rmse: 0.0332747	valid_0's l2: 0.00110721
[1196]	valid_0's rmse: 0.0332744	valid_0's l2: 0.00110719
[1197]	valid_0's rmse: 0.033274	valid_0's l2: 0.00110716
[1198]	valid_0's rmse: 0.0332742	valid_0's l2: 0.00110717
[1199]	valid_0's rmse: 0.0332737	valid_0's l2: 0.00110714
[1200]	valid_0's rmse: 0.0332734	valid_0's l2: 0.00110712
[1201]	valid_0's rmse: 0.0332732	valid_0's l2: 0.0011071
[1202]	valid_0's rmse: 0.0332731	valid_0's l2: 0.0011071
[1203]	valid_0's rmse: 0.0332726	valid_0's l2: 0.00110707
[1204]	valid_0's rmse: 0.0332724	valid_0's l2: 0.00110705
[1205]	valid_0's rmse: 0.0332721	valid_0's l2: 0.00110703
[1206]	valid_0's rmse: 0.033272	valid_0's l2: 0.00110703
[1207]	valid_0's rmse: 0.0332717	valid_0's l2: 0.00110701
[1208]	valid_0's rmse: 0.0332715	valid_0's l2: 0.001107
[1209]	valid_0's rmse: 0.0332714	valid_0's l2: 0.00110699
[1210]	valid_0's rmse: 0.0332714	valid_0's l2: 0.00110699
[1211]	valid_0's rmse: 0.0332712	valid_0's l2: 0.00110697
[1212]	valid_0's rmse: 0.0332709	valid_0's l2: 0.00110696
[1213]	valid_0's rmse: 0.0332711	valid_0's l2: 0.00110697
[1214]	valid_0's rmse: 0.0332705	valid_0's l2: 0.00110693
[1215]	valid_0's rmse: 0.0332703	valid_0's l2: 0.00110691
[1216]	valid_0's rmse: 0.03327	valid_0's l2: 0.00110689
[1217]	valid_0's rmse: 0.0332701	valid_0's l2: 0.0011069
[1218]	valid_0's rmse: 0.0332699	valid_0's l2: 0.00110688
[1219]	valid_0's rmse: 0.0332696	valid_0's l2: 0.00110687
[1220]	valid_0's rmse: 0.0332692	valid_0's l2: 0.00110684
[1221]	valid_0's rmse: 0.0332689	valid_0's l2: 0.00110682
[1222]	valid_0's rmse: 0.0332688	valid_0's l2: 0.00110681
[1223]	valid_0's rmse: 0.0332683	valid_0's l2: 0.00110678
[1224]	valid_0's rmse: 0.0332681	valid_0's l2: 0.00110676
[1225]	valid_0's rmse: 0.0332679	valid_0's l2: 0.00110676
[1226]	valid_0's rmse: 0.0332677	valid_0's l2: 0.00110674
[1227]	valid_0's rmse: 0.0332675	valid_0's l2: 0.00110673
[1228]	valid_0's rmse: 0.0332671	valid_0's l2: 0.0011067
[1229]	valid_0's rmse: 0.0332671	valid_0's l2: 0.0011067
[1230]	valid_0's rmse: 0.0332669	valid_0's l2: 0.00110669
[1231]	valid_0's rmse: 0.0332671	valid_0's l2: 0.0011067
[1232]	valid_0's rmse: 0.0332666	valid_0's l2: 0.00110667
[1233]	valid_0's rmse: 0.0332663	valid_0's l2: 0.00110665
[1234]	valid_0's rmse: 0.0332665	valid_0's l2: 0.00110666
[1235]	valid_0's rmse: 0.0332662	valid_0's l2: 0.00110664
[1236]	valid_0's rmse: 0.033266	valid_0's l2: 0.00110663
[1237]	valid_0's rmse: 0.0332659	valid_0's l2: 0.00110662
[1238]	valid_0's rmse: 0.0332657	valid_0's l2: 0.0011066
[1239]	valid_0's rmse: 0.0332652	valid_0's l2: 0.00110658
[1240]	valid_0's rmse: 0.0332649	valid_0's l2: 0.00110655
[1241]	valid_0's rmse: 0.0332646	valid_0's l2: 0.00110654
[1242]	valid_0's rmse: 0.0332643	valid_0's l2: 0.00110651
[1243]	valid_0's rmse: 0.0332642	valid_0's l2: 0.00110651
[1244]	valid_0's rmse: 0.0332636	valid_0's l2: 0.00110647
[1245]	valid_0's rmse: 0.0332631	valid_0's l2: 0.00110644
[1246]	valid_0's rmse: 0.0332629	valid_0's l2: 0.00110642
[1247]	valid_0's rmse: 0.0332629	valid_0's l2: 0.00110642
[1248]	valid_0's rmse: 0.0332629	valid_0's l2: 0.00110642
[1249]	valid_0's rmse: 0.0332623	valid_0's l2: 0.00110638
[1250]	valid_0's rmse: 0.033262	valid_0's l2: 0.00110636
[1251]	valid_0's rmse: 0.0332618	valid_0's l2: 0.00110634
[1252]	valid_0's rmse: 0.0332616	valid_0's l2: 0.00110633
[1253]	valid_0's rmse: 0.0332615	valid_0's l2: 0.00110633
[1254]	valid_0's rmse: 0.0332613	valid_0's l2: 0.00110631
[1255]	valid_0's rmse: 0.0332614	valid_0's l2: 0.00110632
[1256]	valid_0's rmse: 0.0332611	valid_0's l2: 0.0011063
[1257]	valid_0's rmse: 0.0332609	valid_0's l2: 0.00110629
[1258]	valid_0's rmse: 0.033261	valid_0's l2: 0.00110629
[1259]	valid_0's rmse: 0.0332608	valid_0's l2: 0.00110628
[1260]	valid_0's rmse: 0.0332606	valid_0's l2: 0.00110627
[1261]	valid_0's rmse: 0.0332603	valid_0's l2: 0.00110625
[1262]	valid_0's rmse: 0.0332598	valid_0's l2: 0.00110622
[1263]	valid_0's rmse: 0.0332598	valid_0's l2: 0.00110621
[1264]	valid_0's rmse: 0.0332594	valid_0's l2: 0.00110619
[1265]	valid_0's rmse: 0.0332594	valid_0's l2: 0.00110619
[1266]	valid_0's rmse: 0.0332594	valid_0's l2: 0.00110619
[1267]	valid_0's rmse: 0.0332589	valid_0's l2: 0.00110615
[1268]	valid_0's rmse: 0.033259	valid_0's l2: 0.00110616
[1269]	valid_0's rmse: 0.0332588	valid_0's l2: 0.00110615
[1270]	valid_0's rmse: 0.0332586	valid_0's l2: 0.00110613
[1271]	valid_0's rmse: 0.0332585	valid_0's l2: 0.00110613
[1272]	valid_0's rmse: 0.0332583	valid_0's l2: 0.00110611
[1273]	valid_0's rmse: 0.033258	valid_0's l2: 0.00110609
[1274]	valid_0's rmse: 0.0332579	valid_0's l2: 0.00110609
[1275]	valid_0's rmse: 0.033258	valid_0's l2: 0.0011061
[1276]	valid_0's rmse: 0.0332579	valid_0's l2: 0.00110609
[1277]	valid_0's rmse: 0.0332576	valid_0's l2: 0.00110607
[1278]	valid_0's rmse: 0.033257	valid_0's l2: 0.00110603
[1279]	valid_0's rmse: 0.0332567	valid_0's l2: 0.00110601
[1280]	valid_0's rmse: 0.0332564	valid_0's l2: 0.00110599
[1281]	valid_0's rmse: 0.0332565	valid_0's l2: 0.00110599
[1282]	valid_0's rmse: 0.0332564	valid_0's l2: 0.00110599
[1283]	valid_0's rmse: 0.0332562	valid_0's l2: 0.00110598
[1284]	valid_0's rmse: 0.0332563	valid_0's l2: 0.00110598
[1285]	valid_0's rmse: 0.0332561	valid_0's l2: 0.00110597
[1286]	valid_0's rmse: 0.033256	valid_0's l2: 0.00110596
[1287]	valid_0's rmse: 0.0332556	valid_0's l2: 0.00110594
[1288]	valid_0's rmse: 0.0332553	valid_0's l2: 0.00110592
[1289]	valid_0's rmse: 0.0332553	valid_0's l2: 0.00110591
[1290]	valid_0's rmse: 0.033255	valid_0's l2: 0.0011059
[1291]	valid_0's rmse: 0.0332549	valid_0's l2: 0.00110589
[1292]	valid_0's rmse: 0.0332545	valid_0's l2: 0.00110586
[1293]	valid_0's rmse: 0.0332543	valid_0's l2: 0.00110585
[1294]	valid_0's rmse: 0.0332541	valid_0's l2: 0.00110583
[1295]	valid_0's rmse: 0.0332539	valid_0's l2: 0.00110582
[1296]	valid_0's rmse: 0.0332536	valid_0's l2: 0.0011058
[1297]	valid_0's rmse: 0.0332536	valid_0's l2: 0.0011058
[1298]	valid_0's rmse: 0.0332532	valid_0's l2: 0.00110578
[1299]	valid_0's rmse: 0.0332531	valid_0's l2: 0.00110577
[1300]	valid_0's rmse: 0.0332528	valid_0's l2: 0.00110575
[1301]	valid_0's rmse: 0.0332529	valid_0's l2: 0.00110576
[1302]	valid_0's rmse: 0.0332528	valid_0's l2: 0.00110575
[1303]	valid_0's rmse: 0.0332524	valid_0's l2: 0.00110572
[1304]	valid_0's rmse: 0.0332521	valid_0's l2: 0.0011057
[1305]	valid_0's rmse: 0.0332519	valid_0's l2: 0.00110569
[1306]	valid_0's rmse: 0.0332517	valid_0's l2: 0.00110568
[1307]	valid_0's rmse: 0.0332514	valid_0's l2: 0.00110566
[1308]	valid_0's rmse: 0.0332512	valid_0's l2: 0.00110564
[1309]	valid_0's rmse: 0.0332507	valid_0's l2: 0.00110561
[1310]	valid_0's rmse: 0.0332506	valid_0's l2: 0.0011056
[1311]	valid_0's rmse: 0.0332504	valid_0's l2: 0.00110559
[1312]	valid_0's rmse: 0.0332503	valid_0's l2: 0.00110558
[1313]	valid_0's rmse: 0.0332498	valid_0's l2: 0.00110555
[1314]	valid_0's rmse: 0.0332494	valid_0's l2: 0.00110552
[1315]	valid_0's rmse: 0.0332496	valid_0's l2: 0.00110554
[1316]	valid_0's rmse: 0.0332493	valid_0's l2: 0.00110551
[1317]	valid_0's rmse: 0.0332494	valid_0's l2: 0.00110552
[1318]	valid_0's rmse: 0.0332494	valid_0's l2: 0.00110552
[1319]	valid_0's rmse: 0.0332494	valid_0's l2: 0.00110552
[1320]	valid_0's rmse: 0.0332492	valid_0's l2: 0.00110551
[1321]	valid_0's rmse: 0.0332491	valid_0's l2: 0.00110551
[1322]	valid_0's rmse: 0.0332489	valid_0's l2: 0.00110549
[1323]	valid_0's rmse: 0.0332487	valid_0's l2: 0.00110548
[1324]	valid_0's rmse: 0.0332485	valid_0's l2: 0.00110546
[1325]	valid_0's rmse: 0.0332483	valid_0's l2: 0.00110545
[1326]	valid_0's rmse: 0.0332479	valid_0's l2: 0.00110542
[1327]	valid_0's rmse: 0.0332477	valid_0's l2: 0.00110541
[1328]	valid_0's rmse: 0.0332476	valid_0's l2: 0.0011054
[1329]	valid_0's rmse: 0.0332471	valid_0's l2: 0.00110537
[1330]	valid_0's rmse: 0.0332467	valid_0's l2: 0.00110534
[1331]	valid_0's rmse: 0.0332464	valid_0's l2: 0.00110532
[1332]	valid_0's rmse: 0.0332461	valid_0's l2: 0.0011053
[1333]	valid_0's rmse: 0.0332458	valid_0's l2: 0.00110528
[1334]	valid_0's rmse: 0.0332456	valid_0's l2: 0.00110527
[1335]	valid_0's rmse: 0.0332453	valid_0's l2: 0.00110525
[1336]	valid_0's rmse: 0.0332453	valid_0's l2: 0.00110525
[1337]	valid_0's rmse: 0.0332451	valid_0's l2: 0.00110524
[1338]	valid_0's rmse: 0.0332449	valid_0's l2: 0.00110522
[1339]	valid_0's rmse: 0.0332443	valid_0's l2: 0.00110518
[1340]	valid_0's rmse: 0.033244	valid_0's l2: 0.00110517
[1341]	valid_0's rmse: 0.0332436	valid_0's l2: 0.00110514
[1342]	valid_0's rmse: 0.0332433	valid_0's l2: 0.00110512
[1343]	valid_0's rmse: 0.033243	valid_0's l2: 0.0011051
[1344]	valid_0's rmse: 0.0332428	valid_0's l2: 0.00110509
[1345]	valid_0's rmse: 0.0332428	valid_0's l2: 0.00110508
[1346]	valid_0's rmse: 0.0332427	valid_0's l2: 0.00110508
[1347]	valid_0's rmse: 0.0332425	valid_0's l2: 0.00110506
[1348]	valid_0's rmse: 0.0332424	valid_0's l2: 0.00110505
[1349]	valid_0's rmse: 0.0332421	valid_0's l2: 0.00110504
[1350]	valid_0's rmse: 0.0332419	valid_0's l2: 0.00110503
[1351]	valid_0's rmse: 0.0332416	valid_0's l2: 0.001105
[1352]	valid_0's rmse: 0.0332411	valid_0's l2: 0.00110497
[1353]	valid_0's rmse: 0.0332409	valid_0's l2: 0.00110496
[1354]	valid_0's rmse: 0.0332406	valid_0's l2: 0.00110494
[1355]	valid_0's rmse: 0.0332408	valid_0's l2: 0.00110495
[1356]	valid_0's rmse: 0.0332407	valid_0's l2: 0.00110494
[1357]	valid_0's rmse: 0.0332407	valid_0's l2: 0.00110494
[1358]	valid_0's rmse: 0.0332404	valid_0's l2: 0.00110493
[1359]	valid_0's rmse: 0.0332402	valid_0's l2: 0.00110491
[1360]	valid_0's rmse: 0.0332399	valid_0's l2: 0.00110489
[1361]	valid_0's rmse: 0.0332399	valid_0's l2: 0.00110489
[1362]	valid_0's rmse: 0.0332398	valid_0's l2: 0.00110488
[1363]	valid_0's rmse: 0.0332396	valid_0's l2: 0.00110487
[1364]	valid_0's rmse: 0.0332393	valid_0's l2: 0.00110485
[1365]	valid_0's rmse: 0.0332393	valid_0's l2: 0.00110485
[1366]	valid_0's rmse: 0.0332391	valid_0's l2: 0.00110484
[1367]	valid_0's rmse: 0.033239	valid_0's l2: 0.00110483
[1368]	valid_0's rmse: 0.0332388	valid_0's l2: 0.00110482
[1369]	valid_0's rmse: 0.0332387	valid_0's l2: 0.00110481
[1370]	valid_0's rmse: 0.0332384	valid_0's l2: 0.00110479
[1371]	valid_0's rmse: 0.0332383	valid_0's l2: 0.00110479
[1372]	valid_0's rmse: 0.0332379	valid_0's l2: 0.00110475
[1373]	valid_0's rmse: 0.0332373	valid_0's l2: 0.00110472
[1374]	valid_0's rmse: 0.0332369	valid_0's l2: 0.00110469
[1375]	valid_0's rmse: 0.0332366	valid_0's l2: 0.00110467
[1376]	valid_0's rmse: 0.0332366	valid_0's l2: 0.00110467
[1377]	valid_0's rmse: 0.0332365	valid_0's l2: 0.00110467
[1378]	valid_0's rmse: 0.0332363	valid_0's l2: 0.00110465
[1379]	valid_0's rmse: 0.0332361	valid_0's l2: 0.00110464
[1380]	valid_0's rmse: 0.0332362	valid_0's l2: 0.00110464
[1381]	valid_0's rmse: 0.033236	valid_0's l2: 0.00110463
[1382]	valid_0's rmse: 0.0332359	valid_0's l2: 0.00110463
[1383]	valid_0's rmse: 0.0332357	valid_0's l2: 0.00110461
[1384]	valid_0's rmse: 0.0332355	valid_0's l2: 0.0011046
[1385]	valid_0's rmse: 0.0332351	valid_0's l2: 0.00110457
[1386]	valid_0's rmse: 0.0332347	valid_0's l2: 0.00110455
[1387]	valid_0's rmse: 0.0332344	valid_0's l2: 0.00110452
[1388]	valid_0's rmse: 0.0332339	valid_0's l2: 0.00110449
[1389]	valid_0's rmse: 0.0332338	valid_0's l2: 0.00110449
[1390]	valid_0's rmse: 0.0332335	valid_0's l2: 0.00110446
[1391]	valid_0's rmse: 0.0332336	valid_0's l2: 0.00110447
[1392]	valid_0's rmse: 0.0332333	valid_0's l2: 0.00110446
[1393]	valid_0's rmse: 0.0332332	valid_0's l2: 0.00110445
[1394]	valid_0's rmse: 0.033233	valid_0's l2: 0.00110443
[1395]	valid_0's rmse: 0.0332327	valid_0's l2: 0.00110441
[1396]	valid_0's rmse: 0.0332327	valid_0's l2: 0.00110442
[1397]	valid_0's rmse: 0.0332327	valid_0's l2: 0.00110441
[1398]	valid_0's rmse: 0.0332327	valid_0's l2: 0.00110441
[1399]	valid_0's rmse: 0.0332328	valid_0's l2: 0.00110442
[1400]	valid_0's rmse: 0.0332329	valid_0's l2: 0.00110443
[1401]	valid_0's rmse: 0.0332331	valid_0's l2: 0.00110444
[1402]	valid_0's rmse: 0.0332327	valid_0's l2: 0.00110441
[1403]	valid_0's rmse: 0.0332327	valid_0's l2: 0.00110441
[1404]	valid_0's rmse: 0.0332325	valid_0's l2: 0.0011044
[1405]	valid_0's rmse: 0.0332324	valid_0's l2: 0.00110439
[1406]	valid_0's rmse: 0.033232	valid_0's l2: 0.00110437
[1407]	valid_0's rmse: 0.0332315	valid_0's l2: 0.00110433
[1408]	valid_0's rmse: 0.0332313	valid_0's l2: 0.00110432
[1409]	valid_0's rmse: 0.0332313	valid_0's l2: 0.00110432
[1410]	valid_0's rmse: 0.0332313	valid_0's l2: 0.00110432
[1411]	valid_0's rmse: 0.0332316	valid_0's l2: 0.00110434
[1412]	valid_0's rmse: 0.0332313	valid_0's l2: 0.00110432
[1413]	valid_0's rmse: 0.0332312	valid_0's l2: 0.00110431
[1414]	valid_0's rmse: 0.0332311	valid_0's l2: 0.0011043
[1415]	valid_0's rmse: 0.0332309	valid_0's l2: 0.00110429
[1416]	valid_0's rmse: 0.0332305	valid_0's l2: 0.00110427
[1417]	valid_0's rmse: 0.0332304	valid_0's l2: 0.00110426
[1418]	valid_0's rmse: 0.0332303	valid_0's l2: 0.00110425
[1419]	valid_0's rmse: 0.0332302	valid_0's l2: 0.00110424
[1420]	valid_0's rmse: 0.0332299	valid_0's l2: 0.00110422
[1421]	valid_0's rmse: 0.0332295	valid_0's l2: 0.0011042
[1422]	valid_0's rmse: 0.0332298	valid_0's l2: 0.00110422
[1423]	valid_0's rmse: 0.0332297	valid_0's l2: 0.00110421
[1424]	valid_0's rmse: 0.0332295	valid_0's l2: 0.0011042
[1425]	valid_0's rmse: 0.0332292	valid_0's l2: 0.00110418
[1426]	valid_0's rmse: 0.0332291	valid_0's l2: 0.00110417
[1427]	valid_0's rmse: 0.033229	valid_0's l2: 0.00110417
[1428]	valid_0's rmse: 0.0332286	valid_0's l2: 0.00110414
[1429]	valid_0's rmse: 0.0332284	valid_0's l2: 0.00110412
[1430]	valid_0's rmse: 0.0332287	valid_0's l2: 0.00110414
[1431]	valid_0's rmse: 0.0332289	valid_0's l2: 0.00110416
[1432]	valid_0's rmse: 0.0332287	valid_0's l2: 0.00110415
[1433]	valid_0's rmse: 0.0332285	valid_0's l2: 0.00110414
[1434]	valid_0's rmse: 0.0332285	valid_0's l2: 0.00110413
[1435]	valid_0's rmse: 0.0332283	valid_0's l2: 0.00110412
[1436]	valid_0's rmse: 0.0332282	valid_0's l2: 0.00110411
[1437]	valid_0's rmse: 0.033228	valid_0's l2: 0.0011041
[1438]	valid_0's rmse: 0.0332282	valid_0's l2: 0.00110412
[1439]	valid_0's rmse: 0.0332281	valid_0's l2: 0.0011041
[1440]	valid_0's rmse: 0.0332279	valid_0's l2: 0.0011041
[1441]	valid_0's rmse: 0.0332273	valid_0's l2: 0.00110405
[1442]	valid_0's rmse: 0.0332271	valid_0's l2: 0.00110404
[1443]	valid_0's rmse: 0.0332272	valid_0's l2: 0.00110405
[1444]	valid_0's rmse: 0.0332273	valid_0's l2: 0.00110405
[1445]	valid_0's rmse: 0.0332271	valid_0's l2: 0.00110404
[1446]	valid_0's rmse: 0.0332271	valid_0's l2: 0.00110404
[1447]	valid_0's rmse: 0.0332271	valid_0's l2: 0.00110404
[1448]	valid_0's rmse: 0.033227	valid_0's l2: 0.00110403
[1449]	valid_0's rmse: 0.0332267	valid_0's l2: 0.00110401
[1450]	valid_0's rmse: 0.0332266	valid_0's l2: 0.00110401
[1451]	valid_0's rmse: 0.0332266	valid_0's l2: 0.00110401
[1452]	valid_0's rmse: 0.0332264	valid_0's l2: 0.001104
[1453]	valid_0's rmse: 0.0332263	valid_0's l2: 0.00110399
[1454]	valid_0's rmse: 0.0332261	valid_0's l2: 0.00110398
[1455]	valid_0's rmse: 0.0332262	valid_0's l2: 0.00110398
[1456]	valid_0's rmse: 0.0332263	valid_0's l2: 0.00110399
[1457]	valid_0's rmse: 0.0332261	valid_0's l2: 0.00110397
[1458]	valid_0's rmse: 0.033226	valid_0's l2: 0.00110397
[1459]	valid_0's rmse: 0.0332261	valid_0's l2: 0.00110397
[1460]	valid_0's rmse: 0.0332259	valid_0's l2: 0.00110396
[1461]	valid_0's rmse: 0.0332257	valid_0's l2: 0.00110395
[1462]	valid_0's rmse: 0.0332258	valid_0's l2: 0.00110395
[1463]	valid_0's rmse: 0.0332257	valid_0's l2: 0.00110395
[1464]	valid_0's rmse: 0.0332254	valid_0's l2: 0.00110393
[1465]	valid_0's rmse: 0.0332253	valid_0's l2: 0.00110392
[1466]	valid_0's rmse: 0.0332251	valid_0's l2: 0.00110391
